game_id,date,honest_home_prob,honest_pick,actual,honest_correct,home_rest_penalty,away_rest_penalty
20260311_19_5,20260311,0.41674501533920305,away,home,False,0.0,-15.0
20260311_7_10,20260311,0.9,home,home,True,-15.0,-46.0
20260312_8_20,20260312,0.7999703983285673,home,home,True,-15.0,-15.0
20260312_11_21,20260312,0.39451061210379745,away,away,True,-15.0,-15.0
20260312_19_27,20260312,0.8996234316683615,home,home,True,-46.0,-15.0
20260312_1_17,20260312,0.9,home,home,True,-15.0,-15.0
20260312_14_15,20260312,0.65,home,home,True,-15.0,-15.0
20260312_24_7,20260312,0.5270410862794138,home,away,False,-15.0,-46.0
20260312_25_2,20260312,0.7749412901236091,home,home,True,0.0,-15.0
20260312_13_4,20260312,0.9,home,home,True,-15.0,-15.0
20260312_29_6,20260312,0.55,home,away,False,-15.0,-15.0
20260313_8_29,20260313,0.9,home,home,True,-46.0,-46.0
20260313_11_18,20260313,0.30817242908822184,away,away,True,-46.0,-15.0
20260313_28_21,20260313,0.5307714015415372,home,home,True,-15.0,-46.0
20260313_10_3,20260313,0.75,home,home,True,-15.0,-15.0
20260313_6_5,20260313,0.2799999999999999,away,away,True,-46.0,-15.0
20260313_9_16,20260313,0.55,home,away,False,0.0,-15.0
20260313_22_26,20260313,0.8320159789301343,home,home,True,0.0,-15.0
20260313_12_4,20260313,0.8992332422614572,home,home,True,-15.0,-46.0
20260314_20_17,20260314,0.84329152187703,home,home,True,-15.0,-15.0
20260314_1_15,20260314,0.55,home,home,True,-15.0,-15.0
20260314_2_27,20260314,0.9,home,home,True,-15.0,-15.0
20260314_14_19,20260314,0.55,home,away,False,-15.0,-15.0
20260314_24_30,20260314,0.8070355745209348,home,home,True,-15.0,0.0
20260314_13_7,20260314,0.4083989782637225,away,home,False,-15.0,-15.0
20260314_12_23,20260314,0.8053369593263263,home,away,False,-46.0,0.0
20260315_28_8,20260315,0.3551031548487906,away,home,False,-15.0,-15.0
20260315_20_22,20260315,0.4956488731747264,away,home,False,-46.0,-15.0
20260315_25_16,20260315,0.9,home,home,True,0.0,-15.0
20260315_15_11,20260315,0.7873165671084766,home,home,True,-46.0,-15.0
20260315_5_6,20260315,0.9,home,away,False,-15.0,-15.0
20260315_23_26,20260315,0.75,home,home,True,-46.0,-15.0
20260315_18_9,20260315,0.75,home,home,True,-15.0,-15.0
20260316_17_22,20260316,0.3054220415569924,away,away,True,-15.0,-46.0
20260316_12_24,20260316,0.4203964219866434,away,away,True,-15.0,-15.0
20260316_3_6,20260316,0.7490034137499203,home,home,True,0.0,-46.0
20260316_4_29,20260316,0.65,home,home,True,0.0,0.0
20260316_1_19,20260316,0.5499164882906155,home,home,True,-15.0,-15.0
20260316_2_21,20260316,0.8679626470390615,home,home,True,-15.0,0.0
20260316_10_13,20260316,0.37743652652951065,away,away,True,0.0,-15.0
20260316_27_9,20260316,0.3317699716591129,away,away,True,-15.0,-46.0
20260317_15_5,20260317,0.4341179120911425,away,away,True,-15.0,-15.0
20260317_18_11,20260317,0.8890836715580777,home,home,True,-15.0,-15.0
20260317_27_8,20260317,0.1528826078941774,away,away,True,-46.0,-15.0
20260317_19_25,20260317,0.2799999999999999,away,away,True,-46.0,-15.0
20260317_23_24,20260317,0.2660562479166213,away,away,True,-15.0,-46.0
20260317_7_20,20260317,0.9,home,home,True,0.0,-15.0
20260317_16_21,20260317,0.65,home,home,True,-15.0,-46.0
20260317_30_14,20260317,0.5657335474870171,home,home,True,0.0,0.0
20260318_4_28,20260318,0.39248279550514664,away,away,True,-15.0,0.0
20260318_17_25,20260318,0.2799999999999999,away,away,True,-15.0,-46.0
20260318_3_12,20260318,0.4821694064847033,away,home,False,-15.0,-15.0
20260318_11_22,20260318,0.36529798008858005,away,away,True,-46.0,-15.0
20260318_29_7,20260318,0.2799999999999999,away,home,False,-15.0,-46.0
20260318_6_1,20260318,0.2571835674452566,away,away,True,-15.0,-15.0
20260318_10_13,20260318,0.32624065021318205,away,away,True,-15.0,-15.0
