season,team_id,team_name,delta,source
2020,15,Milwaukee Bucks,-30.5,history
2020,16,Minnesota Timberwolves,21.47,history
2020,17,Brooklyn Nets,77.88,history
2020,18,New York Knicks,-23.0,history
2020,19,Orlando Magic,-18.28,history
2020,20,Philadelphia 76ers,13.23,history
2020,21,Phoenix Suns,30.25,history
2020,22,Portland Trail Blazers,15.45,history
2020,23,Sacramento Kings,46.68,history
2020,24,San Antonio Spurs,15.8,history
2020,25,Oklahoma City Thunder,-42.21,history
2020,26,Utah Jazz,25.98,history
2020,27,Washington Wizards,66.07,history
2020,28,Toronto Raptors,-35.94,history
2020,29,Memphis Grizzlies,10.7,history
2020,30,Charlotte Hornets,13.54,history
2021,1,Atlanta Hawks,1.09,history
2021,2,Boston Celtics,3.95,history
2021,3,New Orleans Pelicans,-35.44,history
2021,4,Chicago Bulls,44.6,history
2021,5,Cleveland Cavaliers,-28.68,history
2021,6,Dallas Mavericks,2.09,history
2021,7,Denver Nuggets,-8.05,history
2021,8,Detroit Pistons,-14.79,history
2021,9,Golden State Warriors,34.81,history
2021,10,Houston Rockets,-55.95,history
2021,11,Indiana Pacers,42.5,history
2021,12,LA Clippers,-71.08,history
2021,13,Los Angeles Lakers,67.92,history
2021,14,Miami Heat,17.8,history
2021,15,Milwaukee Bucks,16.77,history
2021,16,Minnesota Timberwolves,-11.04,history
2021,17,Brooklyn Nets,29.09,history
2021,18,New York Knicks,13.87,history
2021,19,Orlando Magic,-6.07,history
2021,20,Philadelphia 76ers,0.91,history
2021,21,Phoenix Suns,9.4,history
2021,22,Portland Trail Blazers,35.06,history
2021,23,Sacramento Kings,0.43,history
2021,24,San Antonio Spurs,-30.3,history
2021,25,Oklahoma City Thunder,-10.97,history
2021,26,Utah Jazz,-1.55,history
2021,27,Washington Wizards,-49.14,history
2021,28,Toronto Raptors,-66.81,history
2021,29,Memphis Grizzlies,22.68,history
2021,30,Charlotte Hornets,46.91,history
2022,1,Atlanta Hawks,30.89,history
2022,2,Boston Celtics,25.83,history
2022,3,New Orleans Pelicans,29.36,history
2022,4,Chicago Bulls,21.65,history
2022,5,Cleveland Cavaliers,27.31,history
2022,6,Dallas Mavericks,-8.89,history
2022,7,Denver Nuggets,0.74,history
2022,8,Detroit Pistons,-15.69,history
2022,9,Golden State Warriors,-15.79,history
2022,10,Houston Rockets,-29.07,history
2022,11,Indiana Pacers,-28.42,history
2022,12,LA Clippers,63.42,history
2022,13,Los Angeles Lakers,52.73,history
2022,14,Miami Heat,18.59,history
2022,15,Milwaukee Bucks,-14.47,history
2022,16,Minnesota Timberwolves,37.38,history
2022,17,Brooklyn Nets,-25.41,history
2022,18,New York Knicks,3.12,history
2022,19,Orlando Magic,9.04,history
2022,20,Philadelphia 76ers,29.51,history
2022,21,Phoenix Suns,-9.34,history
2022,22,Portland Trail Blazers,-8.42,history
2022,23,Sacramento Kings,1.58,history
2022,24,San Antonio Spurs,-32.17,history
2022,25,Oklahoma City Thunder,-7.05,history
2022,26,Utah Jazz,-129.4,history
2022,27,Washington Wizards,33.0,history
2022,28,Toronto Raptors,-1.87,history
2022,29,Memphis Grizzlies,-10.38,history
2022,30,Charlotte Hornets,-47.81,history
2023,1,Atlanta Hawks,5.73,history
2023,2,Boston Celtics,55.99,history
2023,3,New Orleans Pelicans,14.38,history
2023,4,Chicago Bulls,-2.6,history
2023,5,Cleveland Cavaliers,-16.94,history
2023,6,Dallas Mavericks,9.02,history
2023,7,Denver Nuggets,10.1,history
2023,8,Detroit Pistons,29.18,history
2023,9,Golden State Warriors,26.45,history
2023,10,Houston Rockets,51.62,history
2023,11,Indiana Pacers,15.06,history
2023,12,LA Clippers,63.33,history
2023,13,Los Angeles Lakers,-36.69,history
2023,14,Miami Heat,37.22,history
2023,15,Milwaukee Bucks,-19.96,history
2023,16,Minnesota Timberwolves,35.9,history
2023,17,Brooklyn Nets,-62.17,history
2023,18,New York Knicks,27.92,history
2023,19,Orlando Magic,18.21,history
2023,20,Philadelphia 76ers,-36.79,history
2023,21,Phoenix Suns,-81.08,history
